Amount,Description,Transaction_ID
170655.72,Customer opening,1
607559.4,Customer opening,2
7546.74,Customer opening,3
67712.7,Customer opening,4
4302.0,Customer opening,5
4320.0,Customer opening,6
157827.6,Customer opening,7
65275.2,Customer opening,8
10557.0,Customer opening,9
17413.2,Customer opening,10
58698.0,Customer opening,11
42949.8,Customer opening,12
49532.4,Customer opening,13
8434.8,Customer opening,14
6642.9,Customer opening,15
16896.0,Customer opening,16
9851.64,Customer opening,17
7400.54,Customer opening,18
12911.07,Customer opening,19
6483.48,Customer opening,20
6096.76,Customer opening,21
27954.0,Customer opening,22
36251.7,Customer opening,23
11268.0,Customer opening,24
50134.5,Customer opening,25
18595.2,Customer opening,26
11461.5,Customer opening,27
95235.98,Customer opening,28
112500.0,Customer opening,29
180000.0,Customer opening,30
18312.1,Customer opening,31
18654.8,Customer opening,32
21825.0,Customer opening,33
32881.5,Customer opening,34
3199653.0,Customer opening,35
2976242.0,Customer opening,36
9596392.0,Customer opening,37
9669272.0,Customer opening,38
2963403.0,Customer opening,39
2978772.0,Customer opening,40
6089561.0,Customer opening,41
10554919.0,Customer opening,42
3146793.0,Customer opening,43
9349475.0,Customer opening,44
9732899.0,Customer opening,45
13110087.0,Customer opening,46
6200818.0,Customer opening,47
1168400.0,Customer opening,48
286258.0,Customer opening,49
245364.0,Customer opening,50
3285033.0,Customer opening,51
2694635.0,Customer opening,52
157734.0,Customer opening,53
240831.3,Customer opening,54
265253.04,Customer opening,55
289210.85,Customer opening,56
3057754.0,Customer opening,57
6121781.0,Customer opening,58
3021076.0,Customer opening,59
3052877.0,Customer opening,60
8736787.0,Customer opening,61
2906573.0,Customer opening,62
6213043.0,Customer opening,63
3093466.0,Customer opening,64
5971642.0,Customer opening,65
1078421.0,Customer opening,66
2880995.0,Customer opening,67
919453.0,Customer opening,68
14908378.0,Customer opening,69
492455.0,Customer opening,70
5639783.0,Customer opening,71
12016435.0,Customer opening,72
7795717.0,Customer opening,73
7772616.0,Customer opening,74
3111398.0,Customer opening,75
2779151.0,Customer opening,76
2624999.0,Customer opening,77
1092987.0,Customer opening,78
4828129.0,Customer opening,79
5136286.0,Customer opening,80
1222126.0,Customer opening,81
3104083.0,Customer opening,82
2241690.0,Customer opening,83
1577150.0,Customer opening,84
2365718.0,Customer opening,85
507492.0,Customer opening,86
146050.0,Customer opening,87
146050.0,Customer opening,88
169418.0,Customer opening,89
146050.0,Customer opening,90
890693.8,Customer opening,91
279310.98,Customer opening,92
110030.44,Customer opening,93
108593.44,Customer opening,94
1067156.55,Customer opening,95
162428.87,Customer opening,96
1067380.89,Customer opening,97
945307.21,Customer opening,98
995360.04,Customer opening,99
267544.46,Customer opening,100
109771.56,Customer opening,101
115583.82,Customer opening,102
3013488.0,Customer opening,103
9097314.0,Customer opening,104
9375022.0,Customer opening,105
10016947.0,Customer opening,106
3018408.0,Customer opening,107
9789693.0,Customer opening,108
3106967.0,Customer opening,109
9858248.0,Customer opening,110
22541657.0,Customer opening,111
15811877.0,Customer opening,112
9771278.0,Customer opening,113
6287734.0,Customer opening,114
876300.0,Customer opening,115
286258.0,Customer opening,116
170959.44,Customer opening,117
895180.07,Customer opening,118
912787.75,Customer opening,119
794047.14,Customer opening,120
105461.27,Customer opening,121
7428078.0,Customer opening,122
7330491.0,Customer opening,123
10184384.0,Customer opening,124
9973056.0,Customer opening,125
584200.0,Customer opening,126
140208.0,Customer opening,127
9511665.0,Customer opening,128
6472809.0,Customer opening,129
10445359.0,Customer opening,130
10286970.0,Customer opening,131
2849944.0,Customer opening,132
6387465.0,Customer opening,133
3063748.0,Customer opening,134
3096641.0,Customer opening,135
3007360.0,Customer opening,136
6323457.0,Customer opening,137
10303642.0,Customer opening,138
5596509.0,Customer opening,139
5718683.0,Customer opening,140
5652897.0,Customer opening,141
2760663.0,Customer opening,142
5697538.0,Customer opening,143
10653766.0,Customer opening,144
5556568.0,Customer opening,145
2821750.0,Customer opening,146
5723382.0,Customer opening,147
10425029.0,Customer opening,148
1276376.64,Customer opening,149
2484496.0,Customer opening,150
13837487.0,Customer opening,151
2578120.0,Customer opening,152
17260161.0,Customer opening,153
13632246.0,Customer opening,154
2560381.0,Customer opening,155
303784.0,Customer opening,156
340233.0,Customer opening,157
747776.0,Customer opening,158
116840.0,Customer opening,159
3218575.0,Customer opening,160
6334417.0,Customer opening,161
9844049.0,Customer opening,162
6258182.0,Customer opening,163
6290151.0,Customer opening,164
812494.03,Customer opening,165
5702.4,Customer opening,166
4748.0,Customer opening,167
5640.8,Customer opening,168
5385.6,Customer opening,169
501391.28,Customer opening,170
220336.96,Customer opening,171
309374.68,Customer opening,172
206362.16,Customer opening,173
2398395.0,Customer opening,174
1394835.08,Customer opening,175
1394479.25,Customer opening,176
971039.0,Customer opening,177
19094.4,Customer opening,178
23817.0,Customer opening,179
24247.44,Customer opening,180
5445.64,Customer opening,181
5445.64,Customer opening,182
5441.28,Customer opening,183
5441.28,Customer opening,184
745.8,Customer opening,185
739.2,Customer opening,186
748.8,Customer opening,187
751.8,Customer opening,188
749.4,Customer opening,189
749.4,Customer opening,190
748.8,Customer opening,191
748.8,Customer opening,192
1800.0,Customer opening,193
2400.0,Customer opening,194
972894.0,Customer opening,195
34836.0,Customer opening,196
2301.0,Customer opening,197
10240.0,Customer opening,198
29700.0,Customer opening,199
2537.64,Customer opening,200
2483.58,Customer opening,201
10232.0,Customer opening,202
4993.56,Customer opening,203
600.0,Customer opening,204
420.0,Customer opening,205
324.0,Customer opening,206
300.0,Customer opening,207
27939.25,Customer opening,208
17774.8,Customer opening,209
18544.4,Customer opening,210
88.8,Customer opening,211
18677.6,Customer opening,212
4345.2,Customer opening,213
324.0,Customer opening,214
3989.37,Customer opening,215
4030.19,Customer opening,216
300.0,Customer opening,217
5539.6,Customer opening,218
300.0,Customer opening,219
15746.76,Customer opening,220
300.0,Customer opening,221
6264.72,Customer opening,222
12463.92,Customer opening,223
6441.12,Customer opening,224
7080.66,Customer opening,225
6431.04,Customer opening,226
31777.2,Customer opening,227
21496.68,Customer opening,228
6042.96,Customer opening,229
888.0,Customer opening,230
330.0,Customer opening,231
300.0,Customer opening,232
1500.0,Customer opening,233
612.0,Customer opening,234
900.0,Customer opening,235
900.0,Customer opening,236
300.0,Customer opening,237
288.0,Customer opening,238
459435.0,Customer opening,239
9966466.0,Customer opening,240
5645262.0,Customer opening,241
4264250.0,Customer opening,242
2695402.0,Customer opening,243
650352.0,Customer opening,244
2054728.0,Customer opening,245
7742834.0,Customer opening,246
1704950.0,Customer opening,247
1723.8,Customer opening,248
5359.12,Customer opening,249
1879.2,Customer opening,250
1922.7,Customer opening,251
1988.8,Customer opening,252
25270.0,Customer opening,253
2150.5,Customer opening,254
10226.0,Customer opening,255
1912.8,Customer opening,256
947.2,Customer opening,257
1336.08,Customer opening,258
171424.27,Customer opening,259
171254.44,Customer opening,260
171147.12,Customer opening,261
892754.1,Customer opening,262
783296.05,Customer opening,263
102239.07,Customer opening,264
839407.0,Customer opening,265
488188.0,Customer opening,266
160147.0,Customer opening,267
4093299.0,Customer opening,268
4086162.0,Customer opening,269
4107574.0,Customer opening,270
3704844.0,Customer opening,271
1640651.0,Customer opening,272
1409903.0,Customer opening,273
2749487.0,Customer opening,274
1239266.0,Customer opening,275
1389317.0,Customer opening,276
8236991.0,Customer opening,277
2685796.0,Customer opening,278
12270943.0,Customer opening,279
8098098.0,Customer opening,280
1147953.0,Customer opening,281
5529.2,Customer opening,282
5533.8,Customer opening,283
72.18,Customer opening,284
288.0,Customer opening,285
288.0,Customer opening,286
348.0,Customer opening,287
4703.4,Customer opening,288
