Target_ID,Transaction_ID,Target_Amount,Amount,Description
47.0,4303,1500000.0,1500000.0,Invoice SIVI24-01062
54.0,4032,5473217.0,5473217.0,Invoice SIVI24-00680
77.0,4441,2995679.0,2995679.0,Invoice SIVI24-01103
78.0,4512,3117847.0,3117847.0,Invoice SIVI24-01137
79.0,4571,2991554.0,2991554.0,Invoice SIVI24-01205
80.0,4779,2753882.0,2753882.0,Invoice SIVI24-01442
80.0,5393,2753882.0,2753882.0,Invoice SIVI24-02061
81.0,4505,2128799.0,2128799.0,Invoice SIVI24-01125
100.0,5016,827532.0,827532.0,Invoice SIVI24-01591
103.0,4945,421310.0,421310.0,Invoice SIVI24-01575
103.0,4999,421310.0,421310.0,Invoice SIVI24-01588
105.0,4763,2913990.0,2913990.0,Invoice SIVI24-01438
106.0,4716,9127541.0,9127541.0,Invoice SIVI24-01330
127.0,4651,193.0,193.0,Invoice SIVI24-01322
128.0,4916,5834634.0,5834634.0,Invoice SIVI24-01541
129.0,4946,2945663.0,2945663.0,Invoice SIVI24-01577
131.0,4965,10247567.0,10247567.0,Invoice SIVI24-01580
132.0,3494,9420606.0,9420606.0,Invoice SIVI24-00216
133.0,4759,10479176.0,10479176.0,Invoice SIVI24-01429
134.0,3917,820398.0,820398.0,Invoice SIVI24-00755
135.0,4607,2262530.0,2262530.0,Invoice SIVI24-01207
139.0,4233,22600.0,22600.0,Invoice SIVI24-00918
139.0,4394,22600.0,22600.0,Invoice SIVI24-01085
139.0,4707,22600.0,22600.0,Invoice SIVI24-01389
139.0,5146,22600.0,22600.0,Invoice SIVI24-01782
139.0,5212,22600.0,22600.0,Invoice SIVI24-01805
139.0,5327,22600.0,22600.0,Invoice SIVI24-01964
139.0,5442,22600.0,22600.0,Invoice SIVI24-02053
178.0,344,1100226.0,1100226.0,Customer opening
178.0,819,1100226.0,1100226.0,VAT Opening (Sale) - PBZ-23-06117 - Ádány-Farm Kft
178.0,1204,1100226.0,1100226.0,VAT Opening (Sale) - PBZ-23-06117 - Ádány-Farm Kft
178.0,4904,1100226.0,1100226.0,Invoice SIVI24-01555
181.0,4252,27161338.0,27161338.0,Invoice SIVI24-00810
182.0,4992,8458737.0,8458737.0,Invoice SIVI24-01556
183.0,4925,1993392.0,1993392.0,Invoice SIVI24-01567
184.0,4410,6548374.0,6548374.0,Invoice SIVI24-00980
188.0,5017,49220.5,49220.5,Invoice SIVI24-01633
189.0,4910,22104.0,22104.0,Invoice SIVI24-01607
195.0,2628,5000.0,5000.0,Invoice PBZ-24-00867
211.0,5076,6101563.0,6101563.0,Invoice SIVI24-01685
212.0,4945,421310.0,421310.0,Invoice SIVI24-01575
212.0,4999,421310.0,421310.0,Invoice SIVI24-01588
214.0,4296,1196950.0,1196950.0,Invoice SIVI24-00974
216.0,4809,3010395.0,3010395.0,Invoice SIVI24-01452
217.0,4855,11726210.0,11726210.0,Invoice SIVI24-01428
218.0,4582,2946326.0,2946326.0,Invoice SIVI24-01222
